stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
JOUVET-E,570294,Jouvet,47.558312,-0.669745,0,Europe/Paris,1
LAPOMMER,626478,Pommeraie,47.541579,-0.572695,0,Europe/Paris,0
LAPOMM-E,141684,Pommeraie,47.54177,-0.572688,0,Europe/Paris,0
LOUDIN-E,616610,L'Oudinais,47.552193,-0.429209,0,Europe/Paris,0
LOGINODA,778945,Logis Notre-Dame,47.498387,-0.428944,0,Europe/Paris,0
LOGIND-E,955453,Logis Notre-Dame,47.498444,-0.428875,0,Europe/Paris,0
LOUDINAI,581527,L'Oudinais,47.552249,-0.429346,0,Europe/Paris,0
MAUNY,269348,Mauny,47.525641,-0.667223,0,Europe/Paris,1
MAUNY-E,920846,Mauny,47.525467,-0.666849,0,Europe/Paris,1
MEUNIERS,262219,Meuniers,47.495143,-0.432133,0,Europe/Paris,1
MEUNIE-E,145892,Meuniers,47.495017,-0.431831,0,Europe/Paris,1
OCEANBEN,824455,Bennefray,47.520138,-0.438787,0,Europe/Paris,0
OCEANSUD,604969,Delage,47.514255,-0.448265,0,Europe/Paris,0
PAGNOL-E,548981,Pagnol,47.555474,-0.669466,0,Europe/Paris,0
OCEANNOR,613287,ZA L'Océane,47.516161,-0.443234,0,Europe/Paris,0
PAGNOL,229552,Pagnol,47.555692,-0.6698499999999999,0,Europe/Paris,0
OCESUD-E,14976,Delage,47.51385,-0.448805,0,Europe/Paris,0
OCENOR-E,478395,ZA L'Océane,47.516209,-0.443103,0,Europe/Paris,0
OCEBEN-E,651758,Bennefray,47.52031,-0.438695,0,Europe/Paris,0
PETMOTTE,51560,Petite Motte,47.576343,-0.59278,0,Europe/Paris,0
PETMOT-E,675780,Petite Motte,47.575615,-0.592797,0,Europe/Paris,0
QUAIsubN,110219,Le Quai,47.472105,-0.566387,0,Europe/Paris,1
QUAIsubW,917275,Le Quai,47.472595,-0.5664940000000001,0,Europe/Paris,1
SAUBIN,523612,St-Aubin La Salle,47.489312,-0.50408,0,Europe/Paris,1
SAUBIN-S,213787,St-Aubin La Salle,47.489414,-0.503201,0,Europe/Paris,0
STCLEM,958167,Moulin,47.529843,-0.745144,0,Europe/Paris,1
TOUSSA-E,457713,Toussaint Hodée,47.50035,-0.427973,0,Europe/Paris,0
TOUSSAIN,920745,Toussaint Hodée,47.500424,-0.427906,0,Europe/Paris,0
GATS-E,892868,Les Gâts,47.474304,-0.517184,0,Europe/Paris,1
AAQUITN,,Aliénor d'Aquitaine,47.462897,-0.615049,0,Europe/Paris,1
AARDBU-E,102979,Avrillé - Ardenne,47.512466,-0.596402,0,Europe/Paris,1
AARDBUS,150974,Avrillé - Ardenne,47.512198,-0.596042,0,Europe/Paris,1
ALDUNA-E,,Allonneau-Dunant,47.482346,-0.526697,0,Europe/Paris,1
ALDUNANT,,Allonneau-Dunant,47.482881,-0.526822,0,Europe/Paris,1
AURIOL,3820,Auriol,47.490868,-0.564959,0,Europe/Paris,1
BBCAMT-E,,Belle-Beille Campus,47.47822,-0.606312,0,Europe/Paris,1
BBCAMTEC,,Belle-Beille Campus,47.478583,-0.606058,0,Europe/Paris,1
BEAUSS-E,548181,Beaussier,47.47642,-0.599538,0,Europe/Paris,1
BEAUSSIE,62567,Beaussier,47.47588,-0.599249,0,Europe/Paris,1
CASERNE,331307,Caserne,47.470251,-0.514898,0,Europe/Paris,1
CASERN-E,326343,Caserne,47.470421,-0.516632,0,Europe/Paris,1
CCMOLI-E,,Centre Cial Mollière,47.460777,-0.6174809999999999,0,Europe/Paris,1
CCMOLIER,,Centre Cial Mollière,47.460866,-0.61718,0,Europe/Paris,1
CERFEU-E,938721,Cerfeuil,47.477777,-0.635284,0,Europe/Paris,0
CERFEUIL,932156,Cerfeuil,47.47774,-0.6359,0,Europe/Paris,1
CHABOLA.,973195,Chabolais,47.501229,-0.507431,0,Europe/Paris,1
CHABOL-E,963145,Chabolais,47.500921,-0.507769,0,Europe/Paris,1
CHANTR-E,,Chanterie,47.480145,-0.493547,0,Europe/Paris,1
CHANTRI,,Chanterie,47.480009,-0.494156,0,Europe/Paris,1
CONFLU-E,887272,Confluence,47.505112,-0.50761,0,Europe/Paris,0
CONFLUEN,147473,Confluence,47.505056,-0.507729,0,Europe/Paris,0
COROT,,Corot,47.471046,-0.48962,0,Europe/Paris,1
COROT-E,,Corot,47.470834,-0.489662,0,Europe/Paris,1
COUPER-E,,Couperin,47.468528,-0.527898,0,Europe/Paris,1
COUPERIN,,Couperin,47.468955,-0.527197,0,Europe/Paris,1
DAGNET-E,,Daguenet,47.474758,-0.527973,0,Europe/Paris,1
DAGUENET,,Daguenet,47.474811,-0.528444,0,Europe/Paris,1
DELAUNE,107598,Delaune,47.499883,-0.589516,0,Europe/Paris,0
DELAUN-E,293711,Delaune,47.500235,-0.589643,0,Europe/Paris,0
ESEO,,ESEO,47.492359,-0.5518729999999999,0,Europe/Paris,1
ESEO-E,561593,ESEO,47.492227,-0.551602,0,Europe/Paris,1
EVENTARD,11062,Éventard,47.496874,-0.514998,0,Europe/Paris,1
FARCSJ-E,463350,Farcy,47.473815,-0.577142,0,Europe/Paris,1
FAUVET-E,,Fauvettes,47.470956,-0.628176,0,Europe/Paris,0
FAUVETTE,,Fauvettes,47.470943,-0.628019,0,Europe/Paris,0
FMAURIAC,169314,Mauriac,47.455138,-0.471626,0,Europe/Paris,1
FMAURI-E,924548,Mauriac,47.455307,-0.471606,0,Europe/Paris,1
GENDRO-E,,Gendron,47.437757,-0.526797,0,Europe/Paris,1
GENDRON,,Gendron,47.437869,-0.52696,0,Europe/Paris,1
GRESIL-E,,Grésillé,47.459628,-0.605738,0,Europe/Paris,1
LANGLADE,,Langlade,47.467078,-0.530261,0,Europe/Paris,1
LANGLA-E,,Langlade,47.467679,-0.529377,0,Europe/Paris,0
LASOURCE,,La Source,47.477733,-0.639293,0,Europe/Paris,1
LASOUR-E,,La Source,47.477806,-0.639465,0,Europe/Paris,1
LENOT-E,,Le Nôtre,47.476099,-0.607369,0,Europe/Paris,1
LENOTRE,,Le Nôtre,47.476415,-0.607154,0,Europe/Paris,1
LEQUAI,15807,Le Quai,47.472574,-0.566487,0,Europe/Paris,1
LEQUAI-E,22373,Le Quai,47.472179,-0.566262,0,Europe/Paris,1
LHOIRI-D,,L'Hoirie,47.467056,-0.618262,0,Europe/Paris,0
LHOIRIE2,,L'Hoirie,47.467167,-0.61849,0,Europe/Paris,1
MALRAU-E,468359,Malraux,47.457616,-0.473407,0,Europe/Paris,1
MALRAUX,258751,Malraux,47.457471,-0.473472,0,Europe/Paris,1
MARAIS,969560,Marais,47.450034,-0.504386,0,Europe/Paris,1
MARAIS-E,676375,Marais,47.450293,-0.5042,0,Europe/Paris,1
MIMOSA-E,,Mimosas,47.481552,-0.523192,0,Europe/Paris,1
MIMOSAS,,Mimosas,47.481576,-0.523443,0,Europe/Paris,1
MONP23-E,6511,Monplaisir,47.489893,-0.526883,0,Europe/Paris,1
MONPLA23,936893,Monplaisir,47.489698,-0.52711,0,Europe/Paris,1
MONTREJO,,Montrejeau,47.468047,-0.52129,0,Europe/Paris,0
MONTRJ-E,,Montrejeau,47.467918,-0.521394,0,Europe/Paris,0
MORLON-E,730975,Morlong,47.441603,-0.49236,0,Europe/Paris,0
MORLONG,906258,Morlong,47.441833,-0.492649,0,Europe/Paris,1
MTARDA-E,314976,Tardat,47.444881,-0.55184,0,Europe/Paris,1
MTARDAT,689169,Tardat,47.444948,-0.551586,0,Europe/Paris,1
PETVIVIE,710948,Petit Vivier,47.44573,-0.605908,0,Europe/Paris,1
POULARDE,,Poularderie,47.493725,-0.490627,0,Europe/Paris,0
PVIVIE-E,970019,Petit Vivier,47.445584,-0.606625,0,Europe/Paris,1
SAVOIE,919007,Savoie,47.49115,-0.528297,0,Europe/Paris,1
SAVOIE-E,559868,Savoie,47.490703,-0.527542,0,Europe/Paris,0
SBAVENAI,,Venaiserie,47.472615,-0.485871,0,Europe/Paris,1
STSERG-E,,St-Serge Université,47.476523,-0.551038,0,Europe/Paris,1
STSERGEU,,St-Serge Université,47.476656,-0.552092,0,Europe/Paris,1
VEILLIER,586304,Veillière,47.526557,-0.505263,0,Europe/Paris,0
ZOLA,477388,Zola,47.528837,-0.611254,0,Europe/Paris,1
ZOLA-E,310986,Zola,47.528977,-0.610926,0,Europe/Paris,1
1BARR,,La Barre,47.473174,-0.598726,0,Europe/Paris,1
